ClientSK;Score_Churn;Classe_Risque;Date_Prediction;Modele;AUC;Population_Cible;Target_Mode;Target_Horizon_Days
40209;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40210;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40211;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40212;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40213;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40214;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40216;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40217;59.7;Eleve;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40218;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40219;45.3;Modere;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40220;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40222;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40223;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40224;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40226;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40227;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40228;23.3;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40230;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40232;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40233;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40234;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40235;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40236;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40237;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40238;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40239;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40240;7.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40242;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40243;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40244;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
40245;0.0;Faible;2026-05-02;XGBoost;0.9714;clients_actifs_uniquement;observed_state_fallback;
